WMO-Station ID; StationName;                                Latitude; Longitude; Height; Country
37717;          Sevan;                                         40.56;     45.01;   1917; Armenia                                        
37735;          Gandja;                                        40.72;     46.42;    311; Azerbaijan                                     
37747;          Yevlakh Airport;                               40.63;     47.15;     15; Azerbaijan                                     
37781;          Aragats;                                       40.47;     44.18;   3227; Armenia                                        
37789;          Yerevan-Arabkir;                               40.20;     44.52;   1013; Armenia                                        
37860;          Mashtaga;                                      40.53;     50.00;     28; Azerbaijan                                     
37936;          Naxcivan;                                      39.20;     45.42;    885; Azerbaijan                                     
37989;          Astara;                                        38.45;     48.88;    -22; Azerbaijan                                     
38001;          Fort Sevcenko;                                 44.55;     50.25;    -22; Kazakhstan                                     
38062;          Kyzylorda;                                     44.85;     65.50;    130; Kazakhstan                                     
38069;          Shieli;                                        44.17;     66.75;    153; Kazakhstan                                     
38178;          Ak-Bajtal;                                     43.15;     64.33;    233; Uzbekistan                                     
38198;          Turkestan;                                     43.27;     68.22;    207; Kazakhstan                                     
38228;          Jany-Jer;                                      43.12;     74.40;    600; Kyrgyzstan                                     
38232;          Ak-Kuduk;                                      42.97;     54.11;     78; Kazakhstan                                     
38262;          Chimbaj;                                       42.95;     59.80;     66; Uzbekistan                                     
38328;          Shymkent;                                      42.32;     69.70;    604; Kazakhstan                                     
38334;          Turar Rysqulov;                                42.52;     70.37;    808; Uzbekistan                                     
38341;          Taraz Airp.;                                   42.86;     71.29;    652; Kazakhstan                                     
38343;          Kulan;                                         42.95;     72.75;    700; Kazakhstan                                     
38345;          Talas;                                         42.52;     72.22;   1218; Kyrgyzstan                                     
38353;          Bishkek;                                       42.85;     74.53;    760; Kyrgyzstan                                     
38358;          Susamyr;                                       42.15;     74.02;   2061; Kyrgyzstan                                     
38388;          Ekezhe;                                        41.03;     57.77;     62; Turkmenistan                                   
38392;          Dashoguz;                                      41.75;     59.82;     82; Turkmenistan                                   
38396;          Urgench;                                       41.58;     60.64;    101; Uzbekistan                                     
38403;          Buzaubaj;                                      41.75;     62.47;     97; Uzbekistan                                     
38413;          Tamdybulaq;                                    41.74;     64.62;    236; Uzbekistan                                     
38439;          Shardara;                                      41.37;     68.00;    275; Kazakhstan                                     
